img_name,h_mean,s_mean,v_mean,Radiation Value
IMG_3869,77.998,144.836,218.422,-3.067
IMG_3870,77.991,144.816,218.389,-3.1696
IMG_3871,77.867,146.128,216.219,-3.3949
IMG_3872,77.016,139.307,223.081,-3.2923
IMG_3873,76.757,137.224,224.568,-3.5271
IMG_3874,76.641,135.055,226.863,-3.4867
IMG_3875,76.7,138.7,223.052,-3.3424
IMG_3876,77.938,147.058,214.075,-2.4438
IMG_3877,77.794,149.659,209.962,-2.5362
IMG_3878,90.521,202.967,167.007,-25.6539
IMG_3879,90.835,205.963,163.925,-25.5928
IMG_3880,91.675,211.604,159.45,-26.6793
IMG_3881,91.57,209.513,159.898,-27.1172
IMG_3882,89.686,196.282,173.121,-26.111
IMG_3883,87.55,185.18,188.495,-24.7348
IMG_3884,87.229,182.003,195.053,-19.1509
IMG_3885,88.617,192.499,179.695,-19.223
IMG_3886,86.889,175.561,200.794,-21.2946
IMG_3887,89.515,200.02,169.981,-19.3991
IMG_3888,91.19,209.892,160.092,-26.4264
IMG_3889,90.797,209.358,159.354,-26.7051
IMG_3890,91.345,212.489,154.772,-25.3848
IMG_3891,91.828,214.877,151.516,-23.7475
IMG_3892,92.582,218.136,149.033,-24.8441
IMG_3893,92.874,219.378,144.547,-25.0973
IMG_3894,93.067,220.879,138.454,-25.7524
IMG_3895,93.44,222.637,136.188,-27.4388
IMG_3896,93.78,224.332,133.966,-26.9731
IMG_3897,94.002,224.759,130.652,-27.4883
IMG_3898,94.396,225.908,129.271,-27.0055
IMG_3899,94.367,225.442,126.086,-27.2133
IMG_3900,94.483,225.422,125.162,-26.3338
IMG_3901,94.741,226.205,125.049,-26.4487
IMG_3902,94.773,227.711,123.625,-27.4341
IMG_3903,94.781,226.089,123.28,-27.33
IMG_3904,94.74,225.528,122.626,-27.9563
IMG_3905,94.225,223.724,122.013,-26.9368
IMG_3906,94.084,223.008,120.473,-26.9141
IMG_3907,94.189,222.915,119.809,-26.4168
IMG_3908,94.613,223.867,119.127,-26.8784
IMG_3909,93.591,220.362,121.827,-25.0177
IMG_3910,92.753,217.54,125.707,-25.9842
IMG_3911,91.747,213.265,130.203,-23.0249
IMG_3912,91.945,213.856,126.7,-20.0162
IMG_3913,90.25,208.748,133.906,-19.3068
IMG_3914,89.077,206.204,140.162,-15.5091
IMG_3915,89.634,207.137,137.61,-19.1328
IMG_3916,86.173,195.894,158.536,-16.4446
IMG_3917,84.225,186.177,176.186,-11.1085
IMG_3918,83.141,179.132,185.322,-5.0186
IMG_3919,82.563,178.174,185.377,-5.5474
IMG_3920,83.27,183.337,174.015,-6.3916
IMG_3921,81.689,176.79,181.129,-7.5674
IMG_3922,81.802,177.497,181.312,-6.3804
IMG_3923,81.304,175.258,181.446,-9.0246
IMG_3924,81.575,176.755,178.188,-7.6885
IMG_3925,81.263,176.012,176.696,-9.7283
IMG_3926,83.074,183.384,156.189,-9.2002
IMG_3927,83.164,97.496,252.689,-3.3234
IMG_3928,82.964,99.652,251.863,-3.2887
IMG_3929,82.968,98.764,251.951,-3.406
IMG_3930,82.913,99.681,251.809,-3.3622
IMG_3931,82.969,102.16,251.67,-3.3088
IMG_3932,83.063,100.909,251.618,-3.3413
IMG_3933,82.757,103.153,251.156,-3.2243
IMG_3934,82.858,105.251,250.592,-3.126
IMG_3935,82.711,104.628,250.639,-3.1258
IMG_3936,82.407,106.784,250.106,-3.1688
IMG_3937,82.968,109.928,249.381,-3.1638
IMG_3938,82.9,110.373,249.01,-3.2535
IMG_3939,82.832,113.852,247.937,-3.1724
IMG_3940,82.292,113.485,247.68,-3.2385
IMG_3941,81.979,110.668,248.634,-3.1562
IMG_3942,81.846,112.842,248.046,-3.2381
IMG_3943,81.473,110.33,248.455,-3.1634
IMG_3944,81.433,110.674,248.635,-3.2064
IMG_3945,82.523,117.582,245.79,-3.253
IMG_3946,81.454,119.911,244.224,-3.2458
IMG_3947,81.769,123.855,242.343,-3.1757
IMG_3948,80.912,124.885,240.831,-3.4332
IMG_3949,80.986,119.875,243.66,-3.0613
IMG_3950,80.446,117.81,244.643,-2.8341
IMG_3951,80.816,124.271,240.661,-2.8764
IMG_3952,81.674,125.831,240.526,-2.7756
IMG_3953,81.586,125.744,240.494,-2.7908
IMG_3954,79.504,121.976,240.676,-2.777
IMG_3955,79.656,126.23,237.702,-2.8526
IMG_3956,80.478,129.329,236.746,-2.9701
IMG_3957,80.555,130.561,235.539,-3.1966
IMG_3958,81.405,133.966,234.893,-3.2774
IMG_3959,81.069,135.62,233.161,-3.147
IMG_3960,81.018,133.68,234.175,-3.2572
IMG_3961,82.604,141.877,230.496,-3.1733
IMG_3962,81.667,145.104,224.855,-3.6082
IMG_3963,82.998,151.229,221.732,-3.3812
IMG_3964,81.581,148.444,219.77,-4.6554
IMG_3965,80.175,132.772,233.395,-3.2572
IMG_3966,80.731,142.287,225.852,-3.5582
IMG_3967,80.159,141.935,224.595,-3.3661
IMG_3968,78.21,128.875,233.672,-2.9225
IMG_3969,80.338,143.52,223.238,-3.4226
IMG_3970,80.054,138.941,226.742,-3.3472
IMG_3971,78.187,132.36,229.9,-2.9303
IMG_3972,74.395,118.21,236.561,-2.4589
IMG_3973,76.89,126.022,233.25,-2.357
IMG_3974,75.655,123.606,233.361,-2.3412
IMG_3975,74.406,121.387,234.605,-2.1521
IMG_3976,84.613,110.743,247.25,-2.1514
IMG_3977,84.615,117.438,245.422,-2.2002
IMG_3978,84.48,123.36,242.651,-3.3706
IMG_3979,84.767,121.463,243.497,-2.9559
IMG_3980,84.898,114.527,246.96,-2.4646
IMG_3981,84.087,112.09,247.301,-2.7299
IMG_3982,85.018,116.745,245.774,-2.6476
IMG_3983,85.034,120.13,244.564,-2.7851
IMG_3984,84.615,107.145,248.936,-2.4157
IMG_3985,84.769,112.606,247.156,-2.4419
IMG_3986,86.869,136.223,236.692,-2.5454
IMG_3987,84.836,116.88,245.934,-2.1879
IMG_3988,85.349,116.215,246.418,-2.0733
IMG_3989,84.278,118.054,245.307,-2.3759
IMG_3990,83.493,106.235,249.989,-1.8606
IMG_3991,83.246,112.159,247.853,-2.0823
IMG_3992,83.509,112.432,247.795,-1.7558
IMG_3993,83.759,119.131,244.777,-1.8076
IMG_3994,83.823,126.059,241.248,-1.8901
IMG_3995,83.047,121.202,243.258,-2.0384
IMG_3996,83.74,115.264,246.254,-1.8074
IMG_3997,81.227,125.789,239.282,-1.839
IMG_3998,80.945,124.164,240.531,-1.8977
IMG_3999,82.21,129.045,238.487,-1.7684
IMG_4000,81.54,124.637,240.539,-1.8042
IMG_4001,81.544,124.03,241.502,-1.8152
IMG_4002,82.027,126.942,239.986,-1.5713
