Year,Month,Day,Time,Min,image_name,Clear,Cirrus,Cirrostratus,Stratus,Stratocumulus,Cumulus,Cirrocumulus,Nimbus,Clear_weighted,Cirrus_weighted,Cirrostratus_weighted,Stratus_weighted,Stratocumulus_weighted,Cumulus_weighted,Cirrocumulus_weighted,Nimbus_weighted,label,Temperature(C),Absolute_Humidity(g/m^3),Radiation Value
2021,11,7,1,0,IMG_0811,0.522,0,0.001,0.477,0,0,0,0,0.403076067,0,0.000322191,0.242173655,0,0,0,0,1,22.3,15.99309563,-21.4398
2021,11,7,1,10,IMG_0812,0.188,0,0.119,0.351,0.343,0,0,0,0.148388041,0,0.056862598,0.183808654,0.155739626,0,5.87E-05,0,1,22.1,16.0054721,-22.418
2021,11,7,2,0,IMG_0817,0.597,0,0,0.403,0,0,0,0,0.460675083,0,0,0.219606017,0,0,0,0,1,21.5,16.02683378,-23.0926
2021,11,7,2,10,IMG_0818,0.58,0,0,0.409,0.005,0.006,0,0,0.446841331,0,0,0.220761839,0.003229695,0.003733241,0,0,1,21.6,16.11970043,-22.8393
2021,11,7,2,20,IMG_0819,0.625,0,0,0.375,0,0,0,0,0.482085457,0,0,0.203002186,0,0,0,0,1,21.6,16.30934397,-23.9996
2021,11,7,2,30,IMG_0820,0.558,0,0,0.427,0.005,0.01,0,0,0.429979259,0,0,0.227145906,0.00235936,0.004421101,4.72E-05,0,1,21.5,16.21538477,-23.0997
2021,11,7,3,20,IMG_0825,0.428,0,0,0.181,0.255,0.092,0.044,0,0.33996262,0,0,0.104593968,0.134017901,0.047896432,0.021865069,0,1,21.3,16.02886818,-20.733
2021,11,7,3,30,IMG_0826,0.63,0,0,0.37,0,0,0,0,0.498388154,0,2.28E-05,0.173919389,0,0,0,0,1,21.4,16.12189348,-22.5625
2021,11,9,20,50,IMG_0933,0.04,0,0.006,0.075,0.776,0.002,0.1,0,0.028212876,0,0.004863251,0.05592047,0.567223588,0.000724955,0.050499211,0,1,16,8.447018396,-23.2049
2021,11,9,21,0,IMG_0934,0.092,0,0.068,0.211,0.319,0.004,0.305,0,0.066371785,0,0.054868585,0.165649482,0.240269989,0.001497311,0.166153666,0,1,16,8.310776164,-25.68
2021,11,10,20,50,IMG_0974,0.496,0,0,0.504,0,0,0,0,0.318118607,0,1.90E-05,0.290447716,0,0,0,0,1,,,-35.6876
2021,11,10,21,0,IMG_0975,0.439,0,0,0.561,0,0,0,0,0.287752637,0,0,0.3090625,0,0,0,0,1,,,-37.3016
2021,11,10,21,10,IMG_0976,0.513,0,0,0.487,0,0,0,0,0.331738161,0,6.39E-06,0.272582632,0,0,0,0,1,,,-35.6011
2021,11,10,21,20,IMG_0977,0.524,0,0,0.476,0,0,0,0,0.341651938,0,4.46E-05,0.262979297,0,0,0,0,1,,,-35.1805
2021,11,10,21,30,IMG_0978,0.527,0,0,0.473,0,0,0,0,0.34483273,0,2.01E-06,0.257250451,0,0,0,0,1,,,-36.7247
2021,11,10,21,40,IMG_0979,0.558,0,0,0.442,0,0,0,0,0.368069028,0,2.47E-05,0.240159871,0,0,0,0,1,,,-36.4079
2021,11,10,21,50,IMG_0980,0.567,0,0.001,0.432,0,0,0,0,0.377426262,0,0.000168329,0.232004087,0,0,0,0,1,,,-35.248
2021,11,10,22,0,IMG_0981,0.576,0,0,0.424,0,0,0,0,0.395127351,0,0,0.218169629,0,0,0,0,1,,,-37.5886
2021,11,10,22,10,IMG_0982,0.613,0,0,0.387,0,0,0,0,0.427899872,0,9.16E-06,0.196981994,0,0,0,0,1,,,-37.2693
2021,11,10,22,20,IMG_0983,0.65,0,0,0.35,0,0,0,0,0.451725113,0,3.57E-06,0.180269666,0,0,0,0,1,,,-36.1886
2021,11,10,22,30,IMG_0984,0.663,0,0,0.337,0,0,0,0,0.464219749,0,2.30E-06,0.17189209,0,0,0,0,1,,,-38.5404
2021,11,10,22,40,IMG_0985,0.694,0,0,0.306,0,0,0,0,0.489635915,0,0,0.15696099,0,0,0,0,1,,,-37.0075
