Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021.0,12.0,13.0,3.0,20.0,0.0,-3.0586
2021.0,12.0,13.0,21.0,40.0,0.0,-12.6499
2021.0,12.0,13.0,21.0,50.0,0.0,-24.6622
2021.0,12.0,13.0,22.0,0.0,0.0,-22.7014
2021.0,12.0,13.0,22.0,10.0,0.0,-17.3086
2021.0,12.0,13.0,22.0,20.0,0.0,-19.1098
2021.0,12.0,13.0,22.0,30.0,0.0,-24.1688
2021.0,12.0,13.0,22.0,40.0,0.0,-29.0077
2021.0,12.0,13.0,22.0,50.0,0.0,-30.5628
2021.0,12.0,13.0,23.0,20.0,0.0,-29.8485
2021.0,12.0,13.0,23.0,30.0,0.0,-29.9759
2021.0,12.0,13.0,23.0,40.0,0.0,-30.2581
2021.0,12.0,13.0,23.0,50.0,0.0,-30.2285
2021.0,12.0,14.0,0.0,0.0,0.0,-30.0593
2021.0,12.0,14.0,0.0,10.0,0.0,-30.1544
2021.0,12.0,14.0,0.0,20.0,0.0,-30.0123
2021.0,12.0,14.0,0.0,30.0,0.0,-29.4357
2021.0,12.0,14.0,1.0,0.0,0.0,-17.5269
2021.0,12.0,14.0,1.0,10.0,0.0,-20.1311
2021.0,12.0,14.0,1.0,20.0,0.0,-20.7465
2021.0,12.0,14.0,1.0,30.0,0.0,-20.013
2021.0,12.0,14.0,1.0,40.0,0.0,-17.0611
2021.0,12.0,14.0,1.0,50.0,0.0,-20.8843
2021.0,12.0,14.0,2.0,0.0,0.0,-22.1555
2021.0,12.0,14.0,2.0,10.0,0.0,-20.2443
2021.0,12.0,14.0,2.0,40.0,0.0,-24.2224
2021.0,12.0,14.0,2.0,50.0,0.0,-25.0331
2021.0,12.0,14.0,3.0,0.0,0.0,-24.2987
2021.0,12.0,14.0,3.0,10.0,0.0,-25.0662
2021.0,12.0,14.0,3.0,20.0,0.0,-26.0441
2021.0,12.0,14.0,3.0,30.0,0.0,-26.1706
2021.0,12.0,14.0,19.0,30.0,0.0,-29.7319
2021.0,12.0,14.0,19.0,40.0,0.0,-29.692
2021.0,12.0,14.0,20.0,10.0,0.0,-28.3523
2021.0,12.0,14.0,20.0,20.0,0.0,-28.1166
2021.0,12.0,14.0,20.0,30.0,0.0,-28.7411
2021.0,12.0,14.0,20.0,40.0,0.0,-25.8169
2021.0,12.0,14.0,20.0,50.0,0.0,-24.038
