Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,1,23,2,50,0,0.0364
2022,1,23,3,0,0,0.4561
2022,1,23,3,10,0,-0.6894
2022,1,23,3,20,0,-0.5495
2022,1,23,3,30,0,-0.5767
2022,1,23,19,30,0,-1.6629
2022,1,23,19,40,0,-1.6274
2022,1,23,19,50,0,-1.6204
2022,1,23,20,0,0,-1.4691
2022,1,23,20,10,0,-1.5909
2022,1,23,20,20,0,-1.4311
2022,1,23,20,30,0,-1.1919
2022,1,23,20,40,0,-1.3423
2022,1,23,20,50,0,-1.1446
2022,1,23,21,0,0,-1.1776
2022,1,23,21,10,0,-1.4063
2022,1,23,21,20,0,-1.4397
2022,1,23,21,30,0,-1.2904
2022,1,23,21,40,0,-1.2297
2022,1,23,21,50,0,-1.1555
2022,1,23,22,0,0,-1.247
2022,1,23,22,10,0,-1.1535
2022,1,23,22,20,0,-1.1526
2022,1,23,22,30,0,-1.2373
2022,1,23,22,40,0,-1.3368
2022,1,23,22,50,0,-1.2451
2022,1,23,23,0,0,-1.3306
2022,1,23,23,10,0,-1.4645
2022,1,23,23,20,0,-1.3315
2022,1,23,23,30,0,-1.1757
2022,1,23,23,40,0,-1.1759
2022,1,23,23,50,0,-1.1021
2022,1,24,0,0,0,-1.329
2022,1,24,0,10,0,-1.1894
2022,1,24,0,20,0,-1.1276
2022,1,24,0,30,0,-1.7999
2022,1,24,0,40,0,-1.8198
2022,1,24,0,50,0,-1.6309
2022,1,24,1,0,0,-1.6369
2022,1,24,1,10,0,-1.7107
2022,1,24,1,20,0,-1.6667
2022,1,24,1,30,0,-1.5305
2022,1,24,1,40,0,-1.4605
2022,1,24,1,50,0,-1.5496
2022,1,24,2,0,0,-1.5164
2022,1,24,2,10,0,-1.452
2022,1,24,2,20,0,-1.517
2022,1,24,2,30,0,-1.5578
2022,1,24,2,40,0,-1.5315
2022,1,24,2,50,0,-1.3016
2022,1,24,3,0,0,-1.3184
2022,1,24,3,10,0,-1.2894
2022,1,24,3,20,0,-1.3017
2022,1,24,3,30,0,-1.3769
2022,1,24,19,30,0,-2.5582
2022,1,24,19,40,0,-2.4963
2022,1,24,19,50,0,-1.9344
2022,1,24,20,0,0,-2.4364
2022,1,24,20,10,0,-2.1517
2022,1,24,20,20,0,-2.0699
2022,1,24,20,30,0,-2.0283
2022,1,24,20,40,0,-1.8917
2022,1,24,20,50,0,-1.7692
2022,1,24,21,0,0,-1.7552
2022,1,24,21,10,0,-1.8274
2022,1,24,21,20,0,-1.94
2022,1,24,21,30,0,-1.8774
2022,1,24,21,40,0,-1.9839
2022,1,24,21,50,0,-1.9832
2022,1,24,22,0,0,-2.0059
2022,1,24,22,10,0,-2.0051
2022,1,24,22,20,0,-1.9575
2022,1,24,22,30,0,-1.9125
2022,1,24,22,40,0,-1.838
2022,1,24,22,50,0,-2.017
2022,1,24,23,0,0,-1.732
2022,1,24,23,10,0,-2.542
2022,1,24,23,20,0,-2.2797
2022,1,24,23,30,0,-2.9526
2022,1,24,23,40,0,-3.3778
